anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24
0.829;0.753;0.284;0.419;0.607;0.89;0.488;0.463;0.356;0.448;0.723;0.718;0.493;0.476;1.666;1.099;1.144;1.023;1.355;1.533;1.636;1.051;1.066;0.8
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616
0.112;0.404;0.159;0.364;0.18;1.223;0.705;0.774;0.884;1.013;1.348;2.049;2.484;3.386;5.857;6.151;3.071;5.301;13.802;17.569;9.444;7.636;2.852;2.722
1.452;1.17;1.436;0.761;2.144;1.483;1.128;0.789;1.228;1.247;1.544;0.806;1.143;1.014;1.327;1.25;1.236;1.185;1.395;1.189;1.173;1.576;0.875;0.967
0.179;0.374;0.374;0.205;0.169;0.231;0.301;0.482;0.594;0.773;0.733;0.674;0.51;0.514;0.457;0.361;0.635;0.577;0.512;0.459;0.722;0.606;0.278;0.262
0.947;1.765;0.925;0.835;1.864;1.487;3.358;2.548;3.249;1.781;2.018;1.968;1.491;1.706;2.143;2.727;2.522;1.885;2.401;2.537;3.65;3.57;2.049;1.606
0.814;1.405;0.861;1.051;1.654;1.172;1.651;1.859;1.364;1.384;0.67;1.019;1.112;1.359;1.223;1.367;2.395;2.546;3.074;2.214;2.433;3.157;1.991;1.49
0.443;0.338;0.441;0.357;0.802;0.891;0.775;0.987;0.779;0.598;0.524;0.823;0.745;0.885;0.921;0.779;0.683;0.774;0.848;0.561;0.694;0.728;0.684;0.454
0.257;0.22;0.242;0.188;0.12;0.154;0.163;0.142;0.15;0.205;0.247;0.232;0.258;0.286;0.3;0.271;0.277;0.265;0.304;0.284;0.3;0.33;0.357;0.314
2.019;1.481;1.092;1.229;0.876;0.892;0.454;0.936;1.227;1.151;1.383;1.821;2.031;1.485;1.697;1.175;1.122;1.497;1.982;1.69;1.529;1.103;1.191;0.971
5.006;5.777;4.856;3.889;4.525;6.145;5.551;3.708;5.133;5.559;6.072;5.671;6.176;5.646;7.737;6.613;7.086;7.154;7.005;6.413;6.218;6.523;6.251;3.976
1.469;1.328;1.625;1.648;1.523;1.722;1.054;1.236;1.21;1.694;1.088;0.642;0.817;1.029;1.363;1.381;1.031;1.445;1.982;1.323;1.014;1.205;0.975;0.916
0.782;1.062;0.938;0.839;1.023;1.077;0.804;0.485;0.558;1.002;0.955;0.943;0.829;1.139;1.059;0.805;0.681;0.551;0.686;0.635;0.759;1.561;2.478;2.373
4.312;4.151;4.069;2.705;3.193;4.322;4.286;4.151;5.279;5.203;5.522;5.507;6.23;6.848;7.346;5.755;6.145;6.694;5.87;6.132;4.723;5.877;6.35;5.219
0.465;0.461;0.462;0.394;0.522;0.829;0.61;0.466;0.618;0.888;1.004;0.901;1.217;1.132;1.611;1.089;0.802;0.935;1.169;1.115;0.966;1.108;0.951;0.973
0.399;0.364;0.46;0.411;0.401;0.48;0.538;0.411;0.597;0.559;0.61;0.495;0.646;0.569;0.647;0.583;0.602;0.56;0.57;0.449;0.515;0.482;0.522;0.37
1.398;1.259;1.338;1.205;1.904;2.091;2.206;1.524;2.041;2.178;1.69;1.404;1.712;2.266;2.157;1.555;1.46;1.595;1.729;1.496;1.306;1.359;1.065;0.769
0.1;0.262;0.197;0.101;0.165;0.119;0.143;0.111;0.101;0.127;0.124;0.104;0.141;0.187;0.158;0.103;0.138;0.101;0.169;0.219;0.168;0.169;0.177;0.139
0.744;0.327;0.74;0.253;0.22;0.383;0.43;0.38;0.444;0.674;0.441;0.243;0.297;0.513;0.839;0.541;0.593;0.325;0.469;0.379;0.557;0.52;0.481;0.567
2.12;1.409;1.118;1.32;1.22;1.371;2.436;1.693;1.663;1.63;1.335;1.41;1.683;2.167;2.869;3.03;2.149;1.931;2.234;1.441;1.45;1.24;1.166;1.169
0.593;0.928;1.253;1.062;0.686;1.061;1.042;0.497;0.91;1.706;1.355;1.584;1.712;1.124;1.49;2.625;2.602;2.724;1.402;1.942;1.73;1.952;1.397;1.3
0.131;0.166;0.257;0.187;0.396;0.268;0.495;0.363;0.343;0.364;0.49;0.43;0.662;0.804;1.004;1.037;1.006;1.039;1.004;0.858;1.077;1.23;1.058;0.766
0.296;0.246;0.315;0.256;0.33;0.245;0.354;0.425;0.949;0.53;0.539;0.552;0.469;0.443;0.512;0.621;1.346;0.368;0.557;0.221;0.417;0.345;0.327;0.35
1.669;1.519;1.341;0.92;1.468;1.099;1.181;1.206;1.138;1.239;2.725;1.467;1.199;1.729;1.719;1.555;0.966;1.188;1.546;2.118;1.48;1.644;1.699;1.092
2.442;1.999;1.562;2.047;1.923;1.882;1.532;1.427;1.698;1.422;2.317;2.229;2.047;1.461;2.497;2.423;2.075;2.345;2.012;3.199;2.261;2.204;2.014;1.978
0.353;0.329;0.487;0.157;0.893;0.701;0.887;0.556;0.336;0.7;0.748;0.459;0.593;0.594;0.611;0.683;0.703;0.997;0.726;0.809;0.728;0.683;0.6;0.379
0.555;0.608;0.731;0.772;0.845;0.643;0.675;0.525;0.638;0.631;0.545;0.602;0.763;0.728;0.739;0.74;0.703;0.694;0.58;0.559;0.588;0.576;0.465;0.454
0.329;0.595;0.434;0.385;1;0.779;0.725;0.448;0.609;0.674;0.719;0.584;0.506;0.342;0.434;0.421;0.427;0.356;0.338;0.271;0.368;0.425;0.314;0.302
0.129;0.138;0.527;0.34;0.826;0.806;1.018;1.097;0.99;1.166;1.177;1.176;0.993;1.238;1.589;1.15;1.537;1.627;1.514;1.554;1.439;1.233;1.137;0.761
4.357;4.011;3.9;2.385;2.62;3.046;2.668;2.643;3.02;3.197;3.572;3.933;3.254;3.409;4.304;3.686;2.85;2.803;3.485;4.046;2.8;3.307;3.172;3.566
0.326;0.288;0.444;0.45;0.497;0.401;0.507;0.319;0.373;0.398;0.367;0.394;0.387;0.523;0.566;0.676;0.662;0.727;0.733;0.724;0.801;0.772;0.996;1.106
0.718;0.851;0.346;0.439;0.344;0.537;0.611;0.782;0.782;0.764;0.658;0.672;0.616;0.665;0.707;0.715;0.497;0.814;0.765;1.113;0.843;0.621;0.782;0.711
0.595;0.566;0.611;1.15;0.639;0.766;0.992;0.74;0.791;0.641;0.708;0.932;0.794;0.544;0.613;0.398;0.58;0.55;0.406;0.592;0.361;0.406;0.357;0.557
2.03;1.971;2.305;3.014;3.248;3.525;3.141;2.902;3.056;3.129;3.111;3.661;4.118;5.275;4.341;4.171;4.97;5.21;6.14;4.549;3.567;3.599;3.4;2.94
1.268;0.763;0.665;0.782;0.933;1.2;1.35;1.517;1.528;1.668;1.583;1.391;1.313;1.247;1.25;1.096;1.056;0.968;1.083;0.949;1.201;1.139;1.073;0.921
1.876;0.994;1.026;0.801;1.222;0.97;1.636;1.134;1.055;0.803;0.94;1.071;1.417;1.307;0.802;1.409;0.981;1.07;0.641;0.916;0.964;1.151;1.114;0.86
0.794;1.429;1.246;1.162;0.915;1.085;1.157;0.928;1.179;1.685;0.789;0.902;0.882;0.462;0.545;0.721;0.975;0.915;0.809;0.457;0.745;0.426;0.685;0.691
0.286;0.22;0.222;0.263;0.232;0.206;0.293;0.244;0.295;0.293;0.348;0.512;0.583;0.486;0.373;0.336;0.386;0.439;0.337;0.421;0.498;0.689;0.865;0.701
0.322;0.371;0.332;0.329;0.407;0.835;1.044;1.061;1.178;0.977;0.923;0.884;0.927;0.871;1.063;1.249;1.53;0.591;1.175;0.494;0.571;0.936;0.59;0.762
1.638;0.855;0.565;0.403;0.636;1.748;1.228;1.261;1.434;1.333;1.211;0.785;0.864;0.72;1.08;0.75;0.989;0.673;0.917;0.88;1.206;1.061;0.911;0.977
1.56;1.631;1.471;1.099;1.313;1.425;1.667;1.354;1.436;1.647;2.044;2.136;2.237;1.983;2.178;2.462;1.982;2.038;2.375;2.047;1.822;1.996;1.371;1.471
1.378;2.216;1.519;1.123;0.121;4.03;4.082;2.838;4.032;3.985;4.64;1.037;4.538;1.545;0.517;1.086;1.684;7.586;1.234;1.212;0.734;0.616;0.788;0.31
0.503;0.328;0.394;0.418;0.395;0.545;1.001;0.396;0.399;0.524;0.544;0.583;0.461;0.529;0.516;0.649;0.539;0.621;0.532;0.567;0.586;0.605;0.535;0.664
0.367;0.41;0.406;0.352;0.341;0.238;0.323;0.276;0.285;0.22;0.235;0.191;0.386;0.497;0.624;0.275;0.36;0.265;0.177;0.142;0.339;0.355;0.213;0.234
0.545;0.131;0.316;0.537;0.284;0.289;0.328;0.434;0.344;0.429;0.41;0.275;0.139;0.257;0.268;0.238;0.346;0.659;0.417;0.319;0.356;0.423;0.263;0.258
0.11;0.101;0.138;0.1;0.151;0.121;0.166;0.126;0.174;0.125;0.12;0.128;0.132;0.142;0.151;0.128;0.146;0.192;0.152;0.192;0.168;0.425;0.211;0.356
1.88;1.851;1.904;1.536;1.366;1.194;1.204;1.266;1.615;1.972;1.708;1.692;1.48;1.414;1.307;1.244;1.183;1.271;0.979;0.992;0.958;0.896;0.847;0.819
0.597;0.712;0.369;0.491;0.399;0.492;0.421;0.559;0.578;0.615;0.563;0.661;0.54;0.571;1.067;1.056;0.979;0.989;1.014;0.87;0.645;0.68;0.945;0.819
1.071;0.628;0.594;0.963;0.796;2.037;1.747;1.289;1.252;0.825;1.311;1.156;1.231;1.493;1.21;1.149;1.165;1.188;1.654;1.172;0.799;1.131;1.654;1.743
0.477;1.19;0.479;0.247;0.464;0.461;0.556;0.54;0.555;0.79;0.642;1.064;0.773;0.793;1.258;0.737;0.844;0.609;1.294;0.575;0.578;0.557;0.679;0.721
0.679;0.609;0.79;0.706;0.246;0.484;0.91;0.683;0.485;0.549;0.453;0.748;0.734;0.417;0.49;0.741;0.505;0.441;0.594;0.357;0.286;0.34;0.298;0.556
0.669;0.796;0.743;0.68;0.817;0.848;0.869;0.838;0.647;0.762;0.698;0.86;0.692;0.714;1.017;0.781;0.64;0.627;0.684;0.482;0.337;0.542;0.464;0.533
1.098;1.879;2.05;1.463;1.63;1.462;1.918;1.551;2.366;1.522;1.119;1.522;1.776;1.926;2.142;3.024;2.141;1.895;1.896;2.298;1.895;2.121;1.489;1.816
0.611;0.527;0.35;0.688;1.214;0.945;0.715;0.69;1.2;0.485;0.704;1.124;1.013;0.957;1.06;1.067;1.006;1.255;1.495;0.842;0.711;0.65;0.614;0.655
1.521;1.65;1.436;0.756;0.758;0.658;0.855;0.786;0.707;0.561;1.649;1.411;0.842;0.76;0.669;0.902;0.748;1.214;0.564;0.95;0.453;0.461;0.381;0.311
0.458;0.425;0.303;0.249;0.295;0.192;0.251;0.283;0.235;0.377;0.466;0.519;0.46;0.425;0.473;0.466;0.521;0.611;0.366;0.398;0.439;0.426;0.419;0.375
0.5;0.362;0.453;0.439;0.506;0.385;0.331;0.327;0.519;0.392;0.501;0.64;0.494;0.604;0.93;0.582;0.667;0.763;0.704;0.717;0.664;0.626;0.588;0.527
1.878;1.339;0.907;0.807;0.938;0.561;0.96;0.638;1.018;0.94;1.569;2.036;1.547;1.824;1.982;1.628;1.909;2.043;2.545;2.361;1.878;2.009;1.125;0.94
0.692;0.541;0.609;0.617;0.832;0.884;1.277;0.992;1.161;0.943;0.831;1.01;0.941;0.796;0.995;0.682;0.724;0.767;0.797;0.523;0.578;0.668;0.576;0.783
2;2.068;1.19;1.251;1.897;2.083;1.64;1.662;1.963;2.19;2.022;1.962;1.724;2.053;2.415;1.895;2.2;2.402;3.135;3.019;2.511;2.436;1.682;1.72
0.214;0.228;0.361;0.153;0.159;0.213;0.186;0.187;0.208;0.371;0.3;0.366;0.35;0.351;0.296;0.374;0.388;0.459;0.459;0.412;0.357;0.331;0.386;0.372
0.682;0.771;0.89;1.007;1.128;0.999;1.388;1.248;1.192;1.25;1.35;1.355;1.677;1.808;2.014;1.595;1.435;1.596;1.391;1.368;1.432;1.283;1.04;1.167
0.963;0.855;0.967;0.996;0.958;0.928;1.058;1.089;1.262;0.812;0.952;0.891;0.834;0.735;0.988;0.744;0.508;1.008;0.981;0.902;0.734;0.671;0.612;0.659
0.531;0.509;0.605;0.529;0.908;0.805;0.948;0.689;0.638;0.637;0.607;0.789;0.689;0.679;0.701;0.681;0.712;0.651;0.663;0.576;0.502;0.644;0.775;0.732
0.959;0.793;0.681;0.592;1.148;1.183;0.939;0.873;1.696;1.054;0.816;0.86;0.902;0.918;1.045;0.769;0.931;1.159;0.728;0.71;0.644;0.69;0.642;0.612
1.833;1.758;1.993;1.787;2.126;2.189;2.28;2.268;2.635;2.164;1.62;1.736;1.886;1.853;2.294;2.32;2.617;2.106;2.52;2.092;1.812;1.878;1.799;1.971
5.655;5.653;4.302;6.091;4.321;4.465;4.827;6.527;5.823;7.234;8.119;7.114;7.194;7.171;7.841;9.389;10.191;9.196;10.923;9.257;7.77;8.01;6.677;6.76
2.51;2.457;2.873;2.112;2.451;2.063;2.711;2.799;3.055;2.556;2.069;2.709;3.545;3.041;2.796;3.234;3.532;4.41;3.882;3.72;3.5;3.184;2.955;3.099
2.347;2.351;0.885;1.65;1.154;1.299;1.445;2.464;1.3;0.913;1.556;1.085;1.587;1.275;2.219;2.169;1.663;1.285;1.791;1.201;1.33;1.431;1.401;0.618
1.615;2.668;2.66;2.148;2.391;1.862;2.261;2.598;2.609;2.795;2.283;2.932;2.664;2.284;2.513;3.133;3.256;3.32;3.037;3.672;3.337;3.198;2.215;2.515
1.1;1.19;1.536;0.89;0.428;0.718;0.591;0.415;0.881;0.835;0.725;0.692;0.738;0.455;0.918;0.967;0.731;0.599;0.812;0.61;0.897;0.409;0.472;0.328
2.645;1.255;1.121;1.198;1.453;0.983;1.532;0.819;0.765;0.63;0.826;1.135;1.052;0.896;1.125;1.278;1.046;0.82;1.072;1.054;1.003;1.236;0.929;0.56
1.253;0.738;1.294;0.852;1.583;1.347;1.599;1.342;1.596;1.79;1.448;1.919;1.676;1.481;1.634;1.704;1.541;1.792;1.665;1.923;1.898;1.666;1.301;1.235
0.359;0.545;0.499;0.444;0.549;0.382;0.401;0.527;0.616;0.519;0.461;0.6;0.604;0.435;0.658;0.382;0.592;0.571;0.453;0.552;0.579;0.535;0.565;0.527
1.193;1.132;1.685;1.284;1.579;1.51;1.38;1.646;1.806;1.34;1.466;1.58;1.767;1.407;1.401;1.991;1.631;1.643;1.576;1.591;1.31;1.478;1.144;1.184
1.919;1.382;1.569;1.375;2.384;3.434;3.905;2.085;1.965;2.641;3.039;3.514;4.241;4.08;5.403;4.294;2.614;2.59;3.664;2.886;3.04;5.062;5.241;6.15
0.335;0.381;0.321;0.411;0.582;0.411;0.46;0.387;0.419;0.536;0.364;0.489;0.648;0.392;0.485;0.366;0.286;0.422;0.411;0.464;0.479;0.458;0.224;0.373
0.318;0.214;0.663;0.474;0.269;0.57;0.559;0.56;0.439;0.37;0.72;0.474;0.337;0.54;0.366;0.321;0.246;0.282;0.234;0.21;0.154;0.16;0.152;0.16
0.996;0.566;0.858;0.733;0.712;0.787;0.69;1.121;1.546;1.568;1.61;1.735;1.506;1.287;1.224;1.336;0.936;1.287;0.839;1.179;1.399;0.948;0.974;0.901
0.229;0.366;0.509;0.822;0.948;0.767;0.61;0.487;0.296;0.729;1.054;0.892;0.785;0.626;0.468;0.634;0.3;0.46;0.555;0.995;0.428;0.434;0.39;0.283
0.991;0.701;0.482;0.568;0.875;1.095;0.868;0.845;0.847;1.104;1.276;1.304;1.229;1.277;1.376;1.417;1.173;1.467;1.396;1.245;1.198;1.093;1.016;0.877
0.627;0.559;0.621;0.716;1.075;1.498;1.455;1.364;1.021;1.176;1.091;0.932;0.678;1.353;1.537;1.479;1.321;1.122;0.933;0.743;0.775;0.656;0.779;0.794
0.574;0.26;0.882;0.606;0.937;0.571;0.966;0.69;1.212;0.832;0.986;0.692;0.726;0.901;0.965;1.024;0.762;0.773;0.724;0.669;0.784;0.504;0.752;0.477
1.957;1.928;1.563;1.876;2.127;1.928;1.944;1.711;1.815;2.203;2.309;2.057;2.114;1.709;2.085;2.228;1.98;1.558;2.14;2.301;1.894;2.298;1.383;1.348
1.088;1.066;1.117;0.866;0.91;1.434;1.641;1.12;1.08;0.931;1.112;0.8;0.985;1.227;1.185;0.911;0.834;1.074;0.824;1.288;0.754;0.804;0.507;0.495
0.5;0.309;0.388;0.4;0.474;0.447;0.538;0.494;0.354;0.432;0.516;0.614;0.483;0.465;0.494;0.435;0.518;0.489;0.352;0.43;0.531;0.47;0.435;0.412
0.489;0.203;0.259;0.366;0.454;0.667;0.526;0.388;0.241;0.455;0.497;0.545;0.349;0.362;0.438;0.6;0.63;0.706;0.803;0.632;0.538;0.494;0.54;0.619
0.944;0.928;1.026;1.025;0.833;0.873;0.881;0.822;0.868;0.828;0.829;0.882;0.79;0.677;0.657;0.639;0.677;0.761;0.773;0.699;0.712;0.64;0.891;0.699
0.839;0.943;0.839;0.948;1.04;1.05;1.111;1.132;1.277;0.885;1.139;1.081;0.81;0.947;1.044;1.076;1.072;0.934;0.746;0.711;0.568;0.657;0.601;0.566
1.925;1.516;1.922;1.496;1.485;1.839;1.377;2.034;2.412;1.983;1.58;1.562;1.96;1.579;1.968;2.175;2.115;2.185;1.902;1.925;1.993;1.814;1.764;1.45
1.111;0.944;1.058;1.048;0.967;1.039;1.044;0.996;1.16;1.141;1.077;1.06;0.947;1.047;0.935;0.936;1.028;0.935;0.843;0.783;0.852;0.787;0.76;0.718
0.147;0.751;1.131;1.612;1.285;1.157;1.671;4.009;7.163;2.779;0.359;0.986;2.127;8.901;2.458;2.081;2.722;8.927;5.78;11.594;5.138;3.667;5.541;2.723
